ID,State,Name,Category,Income,Qualification,Eligible Courses,Preference,Minimum Qualification,Description,Type,Award Amount,Duration,Application Deadline,Selection Process
1,Punjab,Diversity Law Scholarship by Indian Education Trust,Minority,1500000,HSC,Post-Graduation,the EWS category,69% in Class 12 or equivalent,Diversity Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 89213 per year.,International,INR 89213,3 years,7th September 2025,Not Specified (likely Need-Based)
2,West Bengal,Leadership Economics Scholarship by Ambani Institute,all,1000000,HSC,Medical,the SEBC category,58% in Class 12 or equivalent,Leadership Economics Scholarship by Ambani Institute provides financial assistance to students in all category. The award amount is INR 12500 per year.,NGO,INR 12500,3 years,22th June 2025,Not Specified (likely Need-Based)
3,West Bengal,Research Entrepreneurship Scholarship by Indian Education Trust,SEBC,750000,Graduation,Diploma,the OBC category,66% in Class 12 or equivalent,Research Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in SEBC category. The award amount is INR 102907 per year.,Corporate,INR 102907,4 years,2th September 2025,Not Specified (likely Need-Based)
4,Odisha,Merit Agriculture Scholarship by Indian Science Society,General,1500000,Medical,Medical,the ST category,82% in Class 12 or equivalent,Merit Agriculture Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 17912 per year.,Corporate,INR 17912,1 years,9th September 2025,Not Specified (likely Need-Based)
5,Uttarakhand,Empowerment Arts Scholarship by Indian Science Society,SEBC,500000,Ph.D.,HSC,the Minority category,59% in Class 12 or equivalent,Empowerment Arts Scholarship by Indian Science Society provides financial assistance to students in SEBC category. The award amount is INR 140560 per year.,Government,INR 140560,4 years,29th July 2025,Not Specified (likely Need-Based)
6,Karnataka,Merit Social Sciences Scholarship by Bharti Enterprises,ST,500000,Medical,Engineering,the all category,50% in Class 12 or equivalent,Merit Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 97675 per year.,Private,INR 97675,2 years,13th July 2025,Not Specified (likely Need-Based)
7,Gujarat,Sustainability Economics Scholarship by Tata Foundation,SC,250000,Ph.D.,Medical,the SEBC category,50% in Class 12 or equivalent,Sustainability Economics Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 110729 per year.,International,INR 110729,2 years,7th June 2025,Not Specified (likely Need-Based)
8,Gujarat,Innovation Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation,SC,500000,Medical,Diploma,the SC category,69% in Class 12 or equivalent,Innovation Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 41237 per year.,International,INR 41237,3 years,22th July 2025,Not Specified (likely Need-Based)
9,Punjab,Leadership Economics Scholarship by Indian Science Society,EWS,1500000,Ph.D.,Ph,the SEBC category,73% in Class 12 or equivalent,Leadership Economics Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 32015 per year.,NGO,INR 32015,3 years,7th September 2025,Not Specified (likely Need-Based)
10,Delhi,Empowerment Social Sciences Scholarship by Indian Science Society,ST,1500000,Medical,Medical,the OBC category,73% in Class 12 or equivalent,Empowerment Social Sciences Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 110568 per year.,International,INR 110568,1 years,17th August 2025,Not Specified (likely Need-Based)
