ID,Name,Eligibility Criteria,Description Summary
1,Government Research Adhichatra,postgraduation and are willing to pursue Ph,"Government Research Adhichatra 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to financially help students who have completed postgraduation and are willing to pursue Ph"
2,Assistance to Meritorious Students scholarship - Junior Level,Class 11 & 12  who want to pursue higher education,"Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help students of Class 11 & 12  who want to pursue higher education"
3,Assistance to Meritorious Students scholarship - Senior Level,Class 11 and 12 passed students who are willing to pursue higher studies,"Assistance to Meritorious Students Scholarship - Senior Level, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help Class 11 and 12 passed students who are willing to pursue higher studies"
4,Dr Panjabrao Deshmukh Hostel Maintenance Allowance,,"The Dr Panjabrao Deshmukh Hostel Maintenance Allowance Scheme is presented by the organization of the Directorate of Medical Education Research under the Government of Maharashtra in order to provide proper opportunities to all the students who are currently taking into account MBBS, BDS, BAMS, BHMS, BPTH, BOTH, B"
5,Dr Panjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna(DTE),registered labour/alpabhudharak (Marginal Land Holder) and who have taken admission in technical; technical,Dr
6,Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR),registered labour and marginal land farmers,MCAER Dr
7,Education Fee Reimbursement Scheme for Open Category Students,the open category and pursuing MBBS,"Education Fee Reimbursement Scheme for Open Category Students, Maharashtra 2022-23 is an initiative of the Directorate of Medical Education Research, Government of Maharashtra to provide financial assistance to students belonging to the open category and pursuing MBBS, BDS, postgraduate medical (MD/MS) degree courses"
8,Eklavya Scholarship,Arts,"Eklavya Scholarship 2022-23, Maharashtra is an opportunity by the Directorate of Higher Education, Government of Maharashtra to provide financial aid to graduate students in Arts, Law, Commerce, and Science who have taken admission to a postgraduate degree program"
9,Government of India Post-Matric Scholarship,Class 10 towards higher education; financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education; Maharashtra,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra"
10,Maintenance Allowance for student Studying in professional courses,professional courses; Professional Courses 2022-23,"Maintenance Allowance for SC Students in Professional Courses 2022-23, Maharashtra is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to SC students enrolled in professional courses"
11,Open Merit Scholarships for EBC Students,Class 11 and 12,"Open Merit Scholarships for EBC Students, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to provide financial assistance to EBC category students studying in Class 11 and 12"
12,Open Merit Scholarships in Junior College,Class 11 and 12,"Open Merit Scholarships in Junior College, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to financially help students of Class 11 and 12"
13,Payment of Maintenance Allowance to VJNT and SBC Students ,Professional Courses 2022-23,"Maintenance Allowance to VJNT and SBC Students in Professional Courses 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to provide financial help to VJNT and SBC category students who are pursuing professional courses and residing in hostels attached to professional colleges"
14,Post Matric Scholarship Scheme (Government Of India ),Class 10 towards higher education; financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education; Maharashtra,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra"
15,Post Matric Scholarship to OBC Students,Class 11 to Ph,"Post Matric Scholarship to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help OBC students studying from Class 11 to Ph"
16,Post Matric Scholarship to SBC Students,Class 10 and are continuing studies at post-matric level,"Post Matric Scholarship to SBC Students 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to financially help the SBC category students who have completed Class 10 and are continuing studies at post-matric level"
17,Post Matric Scholarship to VJNT Students,Class 11 to Ph,"Post-Matric Scholarship to VJNT Students, Maharashtra 2022-23 is an initiative of VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help the VJNT category students who are studying from Class 11 to Ph"
18,Post-Matric Scholarship for persons with disability,Class 10 passed students,"Post-Matric Tuition Fee and Examination Fee (Freeship) 2022-23, Maharashtra is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to Class 10 passed students"
19,Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,Class 11 and 12,"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT & SBC Category, Maharashtra 2022-23 is an initiative by the VJNT, OBC and SBC Welfare Department, Government of Maharashtra for VJNT and SBC category students studying in Class 11 and 12"
20,Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme,,"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to provide financial aid to graduate and postgraduate students"
21,Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme,,"Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scholarship Scheme 2022-23 is an initiative of the Directorate of Medical Education Research, Government of Maharashtra to financial aid to undergraduate medical degree applicants"
22,Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship,Class 11 and 12,"Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship, Maharashtra 2022-23 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to SC students of Class 11 and 12"
23,Scholarship for students of minority communities pursuing,MBBS,"Minority Scholarship, Maharashtra 2022-23 is an initiative of the Minority Development Department, Government of Maharashtra to financially help minority students pursuing MBBS, BDS, BAMS, BHMS, BUMS, BPTH, BOTH, BASLP, BP&O, BSc Nursing, MSc Nursing, BPMT, Ophthalmic Assistant, Optometry, PB BSc Nursing and courses affiliated to Maharashtra University of Health Science, Nashik"
24,Scholarship to Meritorious students possessing Mathematics /Physics,graduation in Science,"Scholarship to Meritorious Students Possessing Mathematics/Physics, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financial aid to students pursuing graduation in Science"
25,State Government Daxshina Adhichatra Scholarship,postgraduation from Government institutes and colleges and non-agricultural universities,"State Government Daxshina Adhichatra Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to provide financial assistance to students pursuing postgraduation from Government institutes and colleges and non-agricultural universities"
26,State Government Open Merit Scholarship,Class 12th passed students of Maharashtra; Maharashtra,"State Government Open Merit Scholarship, Maharashtra 2021-22 is an initiative by the Directorate of Higher Education (DHE), the Government of Maharashtra for Class 12th passed students of Maharashtra"
27,Tuition Fees and Examination Fees to OBC Students,Class 11 to Ph,"Tuition Fees and Examination Fees to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government to Maharashtra provide financial assistance to OBC students studying from Class 11 to Ph"
